pid,label,localisation,latitude,longitude,country,city,inventory,juz,sura_number,sura_title_arabic,sura_title_english,verse_recto,verse_verso,bibliography,link,comments,acquisition,latest_acquisition_date,price,provenance,order,layout,collection,thumbnail,full,manifest
f095,"Blue Qur'an, Sura al-Nisā’, 23-25, LACMA",LACMA,34.0639323,-118.3592293,United States of America,"Los Angeles, California",M.86.196,5,4,al-Nisā’,The Women,23,25,"Stevens and Butler eds 2003: 44
George 2009",https://collections.lacma.org/node/252330,4:23-24; 4:24-25,Gifted,"",Unknown,"The Nasli M. Heeramaneck Collection, gift of Joan Palevsky (M.86.196)",038,qatar_item,bluequran,/img/derivatives/simple/f095_f095_v/thumbnail.jpg,/img/derivatives/simple/f095_f095_v/fullwidth.jpg,/img/derivatives/iiif/f095/manifest.json
f101,"Blue Qur'an, Sura al-Nisā’, 56-59, Brooklyn Museum of Art",Brooklyn Museum of Art,40.6712062,-73.9636306,United States of America,New-York City,1995.51a-b,5,4,al-Nisā’,The Women,56,59,"",https://www.brooklynmuseum.org/opencollection/objects/153526,"",Gifted,1995,Unknown,"Prior to 1994, provenance not yet documented; by October 1994, acquired by Beatrice Riese of New York, NY; June 22, 1995, gift of Beatrice Riese to the Brooklyn Museum.",039,qatar_item,bluequran,/img/derivatives/simple/f101/thumbnail.jpg,/img/derivatives/simple/f101/fullwidth.jpg,/img/derivatives/iiif/f101/manifest.json
f101,"Blue Qur'an, Sura al-Nisā’, 56-59, Brooklyn Museum of Art",Brooklyn Museum of Art,40.6712062,-73.9636306,United States of America,New-York City,1995.51a-b,5,4,al-Nisā’,The Women,56,59,"",https://www.brooklynmuseum.org/opencollection/objects/153526,"",Gifted,1995,Unknown,"Prior to 1994, provenance not yet documented; by October 1994, acquired by Beatrice Riese of New York, NY; June 22, 1995, gift of Beatrice Riese to the Brooklyn Museum.",039,qatar_item,bluequran,/img/derivatives/simple/f101/thumbnail.jpg,/img/derivatives/simple/f101/fullwidth.jpg,/img/derivatives/iiif/f101/manifest.json
f102,"Blue Qur'an, Sura al-Nisā’, 59-62, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,5,4,al-Nisā’,The Women,59,62,"Stanley 1996: item 1
George 2009","","",Purchased,"",Unknown,"",040,qatar_item,bluequran,/img/derivatives/simple/f102/thumbnail.jpg,/img/derivatives/simple/f102/fullwidth.jpg,""
f115,"Blue Qur'an, Sura al-Nisā’, 135-137, Sharjah Museum of Islamic Civilisation",Sharjah Museum of Islamic Civilisation,25.3649156,55.3891993,United Arab Emirates,Sharjah,SM 1996 - 3185,5,4,al-Nisā’,The Women,135,137,"Catalogue ""Masterpieces from the Sharjah Museum of Islamic Civilisation""",Catalogue at home. Get the pics when I get back,"",Purchased,"",Unknown,"",041,qatar_item,bluequran,/img/derivatives/simple/f115/thumbnail.jpg,/img/derivatives/simple/f115/fullwidth.jpg,""
f117,"Blue Qur'an, Sura Ar-Ra'd, 3-10, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,13,13,Ar-Ra'd,The Thunder,3,10,"Stanley 1996: item 12
George 2009","",2 folios,Purchased,"",Unknown,"",042,qatar_item,bluequran,/img/derivatives/simple/f117/thumbnail.jpg,/img/derivatives/simple/f117/fullwidth.jpg,""
f120,"Blue Qur'an, Sura Ar-Ra'd, 23-31, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,13,13,Ar-Ra'd,The Thunder,23,31,"Stanley 1996: item 12
George 2009","",2 folios,Purchased,"",Unknown,"",043,qatar_item,bluequran,/img/derivatives/simple/f120/thumbnail.jpg,/img/derivatives/simple/f120/fullwidth.jpg,""
f122,"Blue Qur'an, Sura al-Nahl, 61-70, Private Collection",Private Collection,Unknown,Unknown,Unknown,Unknown,Unknown,14,16,al-Nahl,The Bee,61,70,Sotheby's 2020,https://www.sothebys.com/en/buy/auction/2020/arts-of-the-islamic-world-india-including-fine-rugs-and-carpets/a-large-quran-leaf-in-gold-kufic-script-on-blue,"Surah al-Nahl (XVI), middle of v.61 to middle of v.70",Purchased,2020,"GBP 214,200",Sotheby's 2020,044,qatar_item,bluequran,/img/derivatives/simple/f122_f122_v/thumbnail.jpg,/img/derivatives/simple/f122_f122_v/fullwidth.jpg,/img/derivatives/iiif/f122/manifest.json
f124,"Blue Qur'an, Sura Al-Kahf, 1-14, Private Collection",Private Collection,Unknown,-90.1179885,Unknown,Unknown,Unknown,15,18,Al-Kahf,The Cave,1,14,"Stanley 1996: item 1
George 2009","","",Purchased,"",Unknown,"",045,qatar_item,bluequran,/img/derivatives/simple/f124/thumbnail.jpg,/img/derivatives/simple/f124/fullwidth.jpg,""
f134,"Blue Qur'an, Sura Al-Kahf, 82-90, Tareq Rajab Museum",Tareq Rajab Museum,29.315035,48.049704,Kuwait,Jabriya,Unknown,16,18,Al-Kahf,The Cave,82,90,"Safwat 1997: 3
George 2009
https://www.youtube.com/watch?v=cFzO4HvBuDE&ab_channel=%D9%85%D8%AA%D8%AD%D9%81%D8%AF%D8%A7%D8%B1%D8%A7%D9%84%D8%A7%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AADaralAtharMuseum-Kuwait (9.29)","","",Purchased,"",Unknown,"",046,qatar_item,bluequran,/img/derivatives/simple/f134/thumbnail.jpg,/img/derivatives/simple/f134/fullwidth.jpg,""
